errorRate,startTime,FlowID,SourceAddress,DestinatioAddress,TxPackets,RxPackets,Throughput,Latency,,,,,,,,,,,,,,,,,
0.03,35,1,10.1.1.1,10.1.2.2,2678,2516,0.388806,24.8074,,"Latency - Mean: 24.115630000000003, Standard Deviation: 1.5262894876500694, Variance: 2.3295596001111116",,,,,,,,,,,,,,,
0.03,45,1,10.1.1.1,10.1.2.2,3673,3457,0.402362,24.0214,,"Throughput - Width of Confidence Interval: 0.12719097634888707, Confidence Interval: (0.2899947236511129, 0.5443766763488871)",,,,,,,,,,,,,,,
0.03,55,1,10.1.1.1,10.1.2.2,4898,4611,0.421764,23.5855,,"Latency - Width of Confidence Interval: 1.7695101825197523, Confidence Interval: (22.34611981748025, 25.885140182519756)",,,,,,,,,,,,,,,
0.03,65,1,10.1.1.1,10.1.2.2,5370,5058,0.392105,23.3705,,,,,,,,,,,,,,,,,
0.03,75,1,10.1.1.1,10.1.2.2,5834,5494,0.360747,23.2008,,,,,,,,,,,,,,,,,
0.03,85,1,10.1.1.1,10.1.2.2,6786,6387,0.362531,23.0501,,,,,,,,,,,,,,,,,
0.03,95,1,10.1.1.1,10.1.2.2,7242,6825,0.343937,22.9283,,,,,,,,,,,,,,,,,
0.03,105,1,10.1.1.1,10.1.2.2,7681,7237,0.327865,22.8281,,,,,,,,,,,,,,,,,
0.04,15,1,10.1.1.1,10.1.2.2,952,868,0.432772,21.8782,,For Rows 42-51,,errorRate = 0.04,,,,,,,,,,,,,
0.04,25,1,10.1.1.1,10.1.2.2,1236,1130,0.266405,21.7097,,"Throughput - Mean: 0.27320530000000004, Standard Deviation: 0.06383918218121741, Variance: 0.004075441181566667",,,,,,,,,,,,,,,
0.04,35,1,10.1.1.1,10.1.2.2,1669,1525,0.235695,21.5771,,"Latency - Mean: 21.97316, Standard Deviation: 0.4914370315716953, Variance: 0.24151035599999948",,,,,,,,,,,,,,,
0.04,45,1,10.1.1.1,10.1.2.2,2229,2042,0.234754,21.5498,,"Throughput - Width of Confidence Interval: 0.07401222626994655, Confidence Interval: (0.1991930737300535, 0.3472175262699466)",,,,,,,,,,,,,,,
0.04,55,1,10.1.1.1,10.1.2.2,2542,2333,0.217633,21.4984,,"Latency - Width of Confidence Interval: 0.5697496041673378, Confidence Interval: (21.403410395832662, 22.54290960416734)",,,,,,,,,,,,,,,
0.04,65,1,10.1.1.1,10.1.2.2,3000,2757,0.209532,21.451,,,,,,,,,,,,,,,,,
0.04,75,1,10.1.1.1,10.1.2.2,4541,4181,0.271619,22.2944,,,,,,,,,,,,,,,,,
0.04,85,1,10.1.1.1,10.1.2.2,5769,5322,0.302043,22.6756,,,,,,,,,,,,,,,,,
0.04,95,1,10.1.1.1,10.1.2.2,6167,5693,0.290639,22.5796,,,,,,,,,,,,,,,,,
0.04,105,1,10.1.1.1,10.1.2.2,6444,5948,0.270961,22.5178,,,,,,,,,,,,,,,,,
0.05,15,1,10.1.1.1,10.1.2.2,2017,1811,0.901595,22.8353,,For Rows 52-61,,errorRate = 0.05,,,,,,,,,,,,,
0.05,25,1,10.1.1.1,10.1.2.2,3428,3078,0.727056,24.2888,,"Throughput - Mean: 0.49114979999999997, Standard Deviation: 0.1818960518548987, Variance: 0.033086173680400004",,,,,,,,,,,,,,,
0.05,35,1,10.1.1.1,10.1.2.2,3819,3440,0.531786,23.9584,,"Latency - Mean: 23.73722, Standard Deviation: 0.5278137209281318, Variance: 0.27858732399999986",,,,,,,,,,,,,,,
0.05,45,1,10.1.1.1,10.1.2.2,4153,3738,0.429691,23.7389,,"Throughput - Width of Confidence Interval: 0.21088195818798575, Confidence Interval: (0.28026784181201425, 0.7020317581879857)",,,,,,,,,,,,,,,
0.05,55,1,10.1.1.1,10.1.2.2,4679,4212,0.385292,23.5056,,"Latency - Width of Confidence Interval: 0.6119230730560459, Confidence Interval: (23.125296926943953, 24.349143073056048)",,,,,,,,,,,,,,,
0.05,65,1,10.1.1.1,10.1.2.2,5312,4788,0.363927,23.3162,,,,,,,,,,,,,,,,,
0.05,75,1,10.1.1.1,10.1.2.2,5997,5406,0.351274,23.1187,,,,,,,,,,,,,,,,,
0.05,85,1,10.1.1.1,10.1.2.2,7917,7136,0.409412,23.9931,,,,,,,,,,,,,,,,,
0.05,95,1,10.1.1.1,10.1.2.2,8932,8058,0.405852,24.3748,,,,,,,,,,,,,,,,,
0.05,105,1,10.1.1.1,10.1.2.2,9939,8959,0.405613,24.2424,,,,,,,,,,,,,,,,,
0.06,15,1,10.1.1.1,10.1.2.2,1668,1455,0.723841,26.1671,,For Rows 62-71,,errorRate = 0.06,,,,,,,,,,,,,
0.06,25,1,10.1.1.1,10.1.2.2,3021,2653,0.624478,31.6123,,"Throughput - Mean: 0.7471783000000001, Standard Deviation: 0.1183233743274478, Variance: 0.014000420912233334",,,,,,,,,,,,,,,
0.06,35,1,10.1.1.1,10.1.2.2,6119,5396,0.859603,34.6233,,"Latency - Mean: 35.133990000000004, Standard Deviation: 3.6537760262348984, Variance: 13.350079249888886",,,,,,,,,,,,,,,
0.06,45,1,10.1.1.1,10.1.2.2,8580,7570,0.936477,37.374,,"Throughput - Width of Confidence Interval: 0.13717870521723605, Confidence Interval: (0.609999594782764, 0.8843570052172361)",,,,,,,,,,,,,,,
0.06,55,1,10.1.1.1,10.1.2.2,8582,7570,0.936477,37.374,,"Latency - Width of Confidence Interval: 4.23602071257371, Confidence Interval: (30.897969287426292, 39.370010712573716)",,,,,,,,,,,,,,,
0.06,65,1,10.1.1.1,10.1.2.2,10384,9159,0.694971,38.1393,,,,,,,,,,,,,,,,,
0.06,75,1,10.1.1.1,10.1.2.2,11398,10036,0.651258,36.9571,,,,,,,,,,,,,,,,,
0.06,85,1,10.1.1.1,10.1.2.2,13415,11776,0.667008,36.2608,,,,,,,,,,,,,,,,,
0.06,95,1,10.1.1.1,10.1.2.2,14943,13140,0.667213,36.1564,,,,,,,,,,,,,,,,,
0.06,105,1,10.1.1.1,10.1.2.2,17838,15721,0.710457,36.6756,,,,,,,,,,,,,,,,,
0.07,15,1,10.1.1.1,10.1.2.2,1544,1314,0.653785,22.7404,,For Rows 72-81,,errorRate = 0.07,,,,,,,,,,,,,
0.07,25,1,10.1.1.1,10.1.2.2,3576,3053,0.72393,37.091,,"Throughput - Mean: 0.7596548000000001, Standard Deviation: 0.052279841359956565, Variance: 0.002733181812622225",,,,,,,,,,,,,,,
0.07,35,1,10.1.1.1,10.1.2.2,6013,5159,0.80138,42.442,,"Latency - Mean: 37.36035, Standard Deviation: 5.358310313532719, Variance: 28.71148941611111",,,,,,,,,,,,,,,
0.07,45,1,10.1.1.1,10.1.2.2,8435,7251,0.835874,39.9724,,"Throughput - Width of Confidence Interval: 0.060610855526097955, Confidence Interval: (0.6990439444739022, 0.820265655526098)",,,,,,,,,,,,,,,
0.07,55,1,10.1.1.1,10.1.2.2,9707,8365,0.770092,39.9797,,"Latency - Width of Confidence Interval: 6.212179758569224, Confidence Interval: (31.148170241430773, 43.57252975856922)",,,,,,,,,,,,,,,
0.07,65,1,10.1.1.1,10.1.2.2,11815,10157,0.776765,38.2884,,,,,,,,,,,,,,,,,
0.07,75,1,10.1.1.1,10.1.2.2,13648,11725,0.769231,38.2216,,,,,,,,,,,,,,,,,
0.07,85,1,10.1.1.1,10.1.2.2,16085,13837,0.791618,39.0294,,,,,,,,,,,,,,,,,
0.07,95,1,10.1.1.1,10.1.2.2,17698,15252,0.768688,38.1028,,,,,,,,,,,,,,,,,
